"","group","type","units","Last 10-year average","year","amount"
"207","Foods","Live meat animals","Percent","4.6300718310000004","2017","-4.1417023300000002"
"208","Foods","Live meat animals","Percent","4.6300718310000004","2016","-24.147880969999999"
"209","Foods","Live meat animals","Percent","4.6300718310000004","2015","-7.8475038220000002"
"210","Foods","Live meat animals","Percent","4.6300718310000004","2014","37.366450550000003"
"211","Foods","Live meat animals","Percent","4.6300718310000004","2013","-8.2116787999999996E-2"
"212","Foods","Live meat animals","Percent","4.6300718310000004","2012","16.200169639999999"
"213","Foods","Live meat animals","Percent","4.6300718310000004","2011","-6.0183339980000001"
"214","Foods","Live meat animals","Percent","4.6300718310000004","2010","21.244337059999999"
"215","Foods","Live meat animals","Percent","4.6300718310000004","2009","-26.954641720000001"
"216","Foods","Live meat animals","Percent","4.6300718310000004","2008","-12.42658423"
"217","Foods","Live meat animals","Percent","4.6300718310000004","2007","19.152854510000001"
"218","Foods","Live meat animals","Percent","4.6300718310000004","2006","29.904306219999999"
"219","Foods","Live meat animals","Percent","4.6300718310000004","2005","47.403685090000003"
"220","Foods","Live meat animals","Percent","4.6300718310000004","2004","-11.153755779999999"
"221","Foods","Live meat animals","Percent","4.6300718310000004","2003","-25.94117988"
"222","Foods","Live meat animals","Percent","4.6300718310000004","2002","-2.6705058720000001"
"223","Foods","Live meat animals","Percent","4.6300718310000004","2001","24.820295980000001"
"224","Foods","Live meat animals","Percent","4.6300718310000004","2000","19.273766500000001"
"225","Foods","Live meat animals","Percent","4.6300718310000004","1999",NA
"226","Foods","Meats","Percent","8.517511614","2023","-3.443070477"
"227","Foods","Meats","Percent","8.517511614","2022","7.4711162330000001"
"228","Foods","Meats","Percent","8.517511614","2021","27.022706700000001"
"229","Foods","Meats","Percent","8.517511614","2020","7.4020829670000001"
"230","Foods","Meats","Percent","8.517511614","2019","4.5139601999999996"
"231","Foods","Meats","Percent","8.517511614","2018","4.237650983"
"232","Foods","Meats","Percent","8.517511614","2017","3.353828955"
"233","Foods","Meats","Percent","8.517511614","2016","-14.05666703"
"234","Foods","Meats","Percent","8.517511614","2015","11.76023176"
"235","Foods","Meats","Percent","8.517511614","2014","36.913275849999998"
"236","Foods","Meats","Percent","8.517511614","2013","4.5587010819999998"
"237","Foods","Meats","Percent","8.517511614","2012","8.5140394770000007"
"238","Foods","Meats","Percent","8.517511614","2011","13.117654"
"239","Foods","Meats","Percent","8.517511614","2010","10.314173589999999"
"240","Foods","Meats","Percent","8.517511614","2009","-8.8481758169999996"
"241","Foods","Meats","Percent","8.517511614","2008","-5.7308939150000002"
"242","Foods","Meats","Percent","8.517511614","2007","2.3609733770000001"
"243","Foods","Meats","Percent","8.517511614","2006","-8.8370799210000008"
"244","Foods","Meats","Percent","8.517511614","2005","0.58406924900000001"
"245","Foods","Meats","Percent","8.517511614","2004","29.179090989999999"
"246","Foods","Meats","Percent","8.517511614","2003","3.3453951210000001"
"247","Foods","Meats","Percent","8.517511614","2002","0.64141722700000003"
"248","Foods","Meats","Percent","8.517511614","2001","11.19471223"
"249","Foods","Meats","Percent","8.517511614","2000","17.39610489"
"250","Foods","Meats","Percent","8.517511614","1999",NA
"251","Foods","Nuts","Percent","3.0747972030000001","2023","-14.320190350000001"
"252","Foods","Nuts","Percent","3.0747972030000001","2022","-6.6091041840000004"
"253","Foods","Nuts","Percent","3.0747972030000001","2021","13.77492054"
"254","Foods","Nuts","Percent","3.0747972030000001","2020","-12.840368939999999"
"255","Foods","Nuts","Percent","3.0747972030000001","2019","-9.1202975249999998"
"256","Foods","Nuts","Percent","3.0747972030000001","2018","5.927452347"
"257","Foods","Nuts","Percent","3.0747972030000001","2017","14.96307135"
"258","Foods","Nuts","Percent","3.0747972030000001","2016","3.7256531640000001"
"259","Foods","Nuts","Percent","3.0747972030000001","2015","17.23363694"
"260","Foods","Nuts","Percent","3.0747972030000001","2014","18.013198679999999"
"261","Foods","Nuts","Percent","3.0747972030000001","2013","3.0006001000000001E-2"
"262","Foods","Nuts","Percent","3.0747972030000001","2012","7.3207385140000003"
"263","Foods","Nuts","Percent","3.0747972030000001","2011","27.468016689999999"
"264","Foods","Nuts","Percent","3.0747972030000001","2010","14.34717985"
"265","Foods","Nuts","Percent","3.0747972030000001","2009","-5.3601836079999998"
"266","Foods","Nuts","Percent","3.0747972030000001","2008","14.330455389999999"
"267","Foods","Nuts","Percent","3.0747972030000001","2007","7.4586137890000002"
"268","Foods","Nuts","Percent","3.0747972030000001","2006","-2.0055263390000002"
"269","Foods","Nuts","Percent","3.0747972030000001","2005","4.033753709"
"270","Foods","Nuts","Percent","3.0747972030000001","2004","39.040742649999999"
"271","Foods","Nuts","Percent","3.0747972030000001","2003","10.72091363"
"272","Foods","Nuts","Percent","3.0747972030000001","2002","4.5210384960000001"
"273","Foods","Nuts","Percent","3.0747972030000001","2001","-17.126252010000002"
"274","Foods","Nuts","Percent","3.0747972030000001","2000","1.8642146369999999"
"275","Foods","Nuts","Percent","3.0747972030000001","1999",NA
"276","Foods","Other edible products","Percent","7.7773206620000002","2023","-8.3732283320000001"
"277","Foods","Other edible products","Percent","7.7773206620000002","2022","19.530019920000001"
"278","Foods","Other edible products","Percent","7.7773206620000002","2021","13.99539384"
"279","Foods","Other edible products","Percent","7.7773206620000002","2020","7.980966274"
"280","Foods","Other edible products","Percent","7.7773206620000002","2019","2.2538392690000002"
"281","Foods","Other edible products","Percent","7.7773206620000002","2018","39.038457739999998"
"282","Foods","Other edible products","Percent","7.7773206620000002","2017","8.5263507650000001"
"283","Foods","Other edible products","Percent","7.7773206620000002","2016","-2.7264007339999998"
"284","Foods","Other edible products","Percent","7.7773206620000002","2015","-1.2803886449999999"
"285","Foods","Other edible products","Percent","7.7773206620000002","2014","-1.171803479"
"286","Foods","Other edible products","Percent","7.7773206620000002","2013","-10.444905990000001"
"287","Foods","Other edible products","Percent","7.7773206620000002","2012","35.826084799999997"
"288","Foods","Other edible products","Percent","7.7773206620000002","2011","19.889338850000001"
"289","Foods","Other edible products","Percent","7.7773206620000002","2010","10.812854440000001"
"290","Foods","Other edible products","Percent","7.7773206620000002","2009","-8.929640719"
"291","Foods","Other edible products","Percent","7.7773206620000002","2008","10.09658173"
"292","Foods","Other edible products","Percent","7.7773206620000002","2007","1.8857785760000001"
"293","Foods","Other edible products","Percent","7.7773206620000002","2006","7.6930032370000001"
"294","Foods","Other edible products","Percent","7.7773206620000002","2005","15.742213660000001"
"295","Foods","Other edible products","Percent","7.7773206620000002","2004","31.483927789999999"
"296","Foods","Other edible products","Percent","7.7773206620000002","2003","46.545674529999999"
"297","Foods","Other edible products","Percent","7.7773206620000002","2002","10.24899956"
"298","Foods","Other edible products","Percent","7.7773206620000002","2001","7.2637954880000004"
"299","Foods","Other edible products","Percent","7.7773206620000002","2000","-0.97761405499999998"
"300","Foods","Other edible products","Percent","7.7773206620000002","1999",NA
"301","Foods","Sugar and candy","Percent","5.4810674629999996","2023","4.5500108959999999"
"302","Foods","Sugar and candy","Percent","5.4810674629999996","2022","20.750447319999999"
"303","Foods","Sugar and candy","Percent","5.4810674629999996","2021","10.23107416"
"304","Foods","Sugar and candy","Percent","5.4810674629999996","2020","10.857449089999999"
"305","Foods","Sugar and candy","Percent","5.4810674629999996","2019","0.113741228"
